Question ID,Model,one,two,tree
74891998,gpt-3.5-turbo,MEDIUM,VERY HIGH,MEDIUM
74891998,meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM,MEDIUM
75766948,gpt-3.5-turbo,HIGH,HIGH,MEDIUM
75766948,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,HIGH,HIGH
74844325,gpt-3.5-turbo,MEDIUM,HIGH,VERY LOW
74844325,meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM,VERY HIGH
75922360,gpt-3.5-turbo,VERY HIGH,VERY HIGH,VERY HIGH
75922360,meta-llama/Llama-2-7b-chat-hf,VERY LOW,VERY LOW,VERY LOW
75894490,gpt-3.5-turbo,MEDIUM,MEDIUM,MEDIUM
75894490,meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM,MEDIUM
75128735,gpt-3.5-turbo,LOW,HIGH,MEDIUM
75128735,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,VERY LOW,MEDIUM
75418451,gpt-3.5-turbo,VERY HIGH,HIGH,VERY HIGH
75418451,meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH,VERY HIGH
74787773,gpt-3.5-turbo,VERY HIGH,VERY HIGH,VERY HIGH
74787773,meta-llama/Llama-2-7b-chat-hf,VERY LOW,LOW,MEDIUM
74910981,gpt-3.5-turbo,LOW,LOW,LOW
74910981,meta-llama/Llama-2-7b-chat-hf,VERY LOW,MEDIUM,MEDIUM
75953590,gpt-3.5-turbo,HIGH,LOW,HIGH
75953590,meta-llama/Llama-2-7b-chat-hf,VERY LOW,VERY LOW,LOW
74955237,gpt-3.5-turbo,HIGH,HIGH,MEDIUM
74955237,meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH,MEDIUM
75309327,gpt-3.5-turbo,MEDIUM,VERY HIGH,LOW
75309327,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,LOW,MEDIUM
75274866,gpt-3.5-turbo,VERY HIGH,VERY HIGH,HIGH
75274866,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,MEDIUM,VERY HIGH
75124044,gpt-3.5-turbo,LOW,HIGH,MEDIUM
75124044,meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW,LOW
75754152,gpt-3.5-turbo,VERY HIGH,VERY HIGH,VERY HIGH
75754152,meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH,MEDIUM
75727923,gpt-3.5-turbo,MEDIUM,VERY HIGH,VERY HIGH
75727923,meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM,MEDIUM
75828054,gpt-3.5-turbo,HIGH,VERY HIGH,MEDIUM
75828054,meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM,VERY LOW
76040523,gpt-3.5-turbo,MEDIUM,MEDIUM,MEDIUM
76040523,meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW,MEDIUM
74639660,gpt-3.5-turbo,MEDIUM,VERY LOW,LOW
74639660,meta-llama/Llama-2-7b-chat-hf,LOW,LOW,LOW
75361470,gpt-3.5-turbo,VERY HIGH,MEDIUM,VERY HIGH
75361470,meta-llama/Llama-2-7b-chat-hf,LOW,VERY LOW,LOW
75394657,gpt-3.5-turbo,MEDIUM,LOW,MEDIUM
75394657,meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM,LOW
75678528,gpt-3.5-turbo,VERY LOW,VERY LOW,VERY LOW
75678528,meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW,VERY LOW
74792246,gpt-3.5-turbo,HIGH,MEDIUM,MEDIUM
74792246,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,MEDIUM,VERY HIGH
75137675,gpt-3.5-turbo,MEDIUM,LOW,MEDIUM
75137675,meta-llama/Llama-2-7b-chat-hf,VERY LOW,VERY LOW,LOW
75676718,gpt-3.5-turbo,MEDIUM,VERY HIGH,MEDIUM
75676718,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,MEDIUM,VERY HIGH
75345766,gpt-3.5-turbo,MEDIUM,MEDIUM,VERY HIGH
75345766,meta-llama/Llama-2-7b-chat-hf,VERY LOW,LOW,MEDIUM
75259576,gpt-3.5-turbo,MEDIUM,MEDIUM,HIGH
75259576,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,MEDIUM,LOW
75535945,gpt-3.5-turbo,HIGH,VERY HIGH,HIGH
75535945,meta-llama/Llama-2-7b-chat-hf,HIGH,VERY HIGH,HIGH
74886135,gpt-3.5-turbo,VERY HIGH,HIGH,VERY HIGH
74886135,meta-llama/Llama-2-7b-chat-hf,VERY LOW,VERY HIGH,LOW
75412023,gpt-3.5-turbo,MEDIUM,LOW,HIGH
75412023,meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH,MEDIUM
76053426,gpt-3.5-turbo,LOW,HIGH,LOW
76053426,meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW,LOW
75477705,gpt-3.5-turbo,VERY HIGH,VERY HIGH,VERY HIGH
75477705,meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM,HIGH
75926446,gpt-3.5-turbo,LOW,VERY HIGH,HIGH
75926446,meta-llama/Llama-2-7b-chat-hf,VERY LOW,MEDIUM,VERY HIGH
75141068,gpt-3.5-turbo,MEDIUM,VERY LOW,VERY LOW
75141068,meta-llama/Llama-2-7b-chat-hf,LOW,VERY LOW,LOW
75279839,gpt-3.5-turbo,LOW,LOW,MEDIUM
75279839,meta-llama/Llama-2-7b-chat-hf,LOW,VERY LOW,LOW
74625933,gpt-3.5-turbo,MEDIUM,HIGH,MEDIUM
74625933,meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM,LOW
75888265,gpt-3.5-turbo,HIGH,HIGH,HIGH
75888265,meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM,HIGH
75606592,gpt-3.5-turbo,LOW,MEDIUM,LOW
75606592,meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW,VERY LOW
75767654,gpt-3.5-turbo,MEDIUM,HIGH,MEDIUM
75767654,meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH,MEDIUM
75792418,gpt-3.5-turbo,MEDIUM,MEDIUM,MEDIUM
75792418,meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM,VERY LOW
75897290,gpt-3.5-turbo,MEDIUM,MEDIUM,VERY LOW
75897290,meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM,MEDIUM
75300420,gpt-3.5-turbo,HIGH,HIGH,VERY HIGH
75300420,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,VERY HIGH,LOW
74903024,gpt-3.5-turbo,MEDIUM,MEDIUM,HIGH
74903024,meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW,LOW
74727222,gpt-3.5-turbo,VERY HIGH,HIGH,VERY HIGH
74727222,meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW,HIGH
75594376,gpt-3.5-turbo,HIGH,MEDIUM,VERY HIGH
75594376,meta-llama/Llama-2-7b-chat-hf,LOW,VERY LOW,LOW
75779286,gpt-3.5-turbo,LOW,LOW,MEDIUM
75779286,meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM,MEDIUM
75701487,gpt-3.5-turbo,MEDIUM,LOW,LOW
75701487,meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH,HIGH
75581187,gpt-3.5-turbo,MEDIUM,HIGH,HIGH
75581187,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,VERY HIGH,MEDIUM
75818472,gpt-3.5-turbo,MEDIUM,HIGH,MEDIUM
75818472,meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW,MEDIUM
75259335,gpt-3.5-turbo,HIGH,MEDIUM,MEDIUM
75259335,meta-llama/Llama-2-7b-chat-hf,LOW,VERY LOW,MEDIUM
74941125,gpt-3.5-turbo,HIGH,VERY HIGH,HIGH
74941125,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,HIGH,VERY HIGH
74776494,gpt-3.5-turbo,VERY HIGH,HIGH,HIGH
