Question ID,LLAMA,GPT
74891998-gpt-3.5-turbo,MEDIUM,MEDIUM
74844325-gpt-3.5-turbo,MEDIUM,MEDIUM
75894490-gpt-3.5-turbo,LOW,MEDIUM
75894490-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
75128735-gpt-3.5-turbo,MEDIUM,LOW
75418451-gpt-3.5-turbo,HIGH,VERY HIGH
75418451-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
74787773-gpt-3.5-turbo,HIGH,VERY HIGH
74787773-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW
74910981-gpt-3.5-turbo,HIGH,LOW
75953590-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW
74955237-gpt-3.5-turbo,HIGH,HIGH
74955237-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
75309327-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
75828054-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
76040523-gpt-3.5-turbo,HIGH,MEDIUM
76040523-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
74639660-gpt-3.5-turbo,MEDIUM,MEDIUM
74639660-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
75361470-gpt-3.5-turbo,MEDIUM,VERY HIGH
75394657-meta-llama/Llama-2-7b-chat-hf,VERY HIGH,LOW
75678528-gpt-3.5-turbo,MEDIUM,VERY LOW
75678528-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
74792246-gpt-3.5-turbo,MEDIUM,HIGH
74792246-meta-llama/Llama-2-7b-chat-hf,LOW,VERY HIGH
75676718-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY HIGH
75345766-gpt-3.5-turbo,MEDIUM,MEDIUM
75259576-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY HIGH
75535945-gpt-3.5-turbo,MEDIUM,HIGH
74886135-gpt-3.5-turbo,MEDIUM,VERY HIGH
75412023-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
76053426-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
75477705-gpt-3.5-turbo,MEDIUM,VERY HIGH
75477705-meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH
75926446-gpt-3.5-turbo,HIGH,LOW
75926446-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW
75141068-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
75279839-gpt-3.5-turbo,MEDIUM,LOW
75279839-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
75888265-gpt-3.5-turbo,MEDIUM,HIGH
75888265-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
75606592-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
75792418-gpt-3.5-turbo,MEDIUM,MEDIUM
75792418-meta-llama/Llama-2-7b-chat-hf,LOW,LOW
75897290-gpt-3.5-turbo,MEDIUM,MEDIUM
75897290-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
74903024-gpt-3.5-turbo,MEDIUM,MEDIUM
74903024-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
74727222-gpt-3.5-turbo,HIGH,VERY HIGH
75594376-gpt-3.5-turbo,MEDIUM,HIGH
75594376-meta-llama/Llama-2-7b-chat-hf,LOW,LOW
75701487-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
75818472-gpt-3.5-turbo,HIGH,MEDIUM
75818472-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
75259335-gpt-3.5-turbo,HIGH,HIGH
75259335-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
74941125-gpt-3.5-turbo,MEDIUM,HIGH
74941125-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY HIGH
74776494-gpt-3.5-turbo,MEDIUM,VERY HIGH
74873498-gpt-3.5-turbo,HIGH,LOW
74829371-gpt-3.5-turbo,MEDIUM,VERY HIGH
74625152-gpt-3.5-turbo,HIGH,MEDIUM
74625152-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
74985752-gpt-3.5-turbo,MEDIUM,HIGH
74985752-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
75388014-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
75652520-gpt-3.5-turbo,MEDIUM,VERY HIGH
75652520-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
75610201-gpt-3.5-turbo,HIGH,MEDIUM
