question_id,model,label,score
74891998,chat-gpt-3.5,neutral,0.9997758269309998
74891998,original-answer,neutral,0.9996942281723022
74891998,llama,neutral,0.9997507929801941
75766948,chat-gpt-3.5,neutral,0.9997450709342957
75766948,original-answer,neutral,0.9990608096122742
75766948,llama,neutral,0.9997106194496155
74844325,chat-gpt-3.5,neutral,0.999700665473938
74844325,original-answer,neutral,0.999453604221344
74844325,llama,neutral,0.9997050166130066
75922360,chat-gpt-3.5,neutral,0.9996956586837769
75922360,original-answer,neutral,0.9997182488441467
75922360,llama,neutral,0.9997709393501282
75894490,chat-gpt-3.5,neutral,0.9997621178627014
75894490,original-answer,neutral,0.999758780002594
75894490,llama,neutral,0.9997244477272034
75128735,chat-gpt-3.5,neutral,0.9996782541275024
75128735,original-answer,neutral,0.9995661377906799
75128735,llama,neutral,0.9997649788856506
75418451,chat-gpt-3.5,neutral,0.9997239708900452
75418451,original-answer,neutral,0.9997435212135315
75418451,llama,neutral,0.9996329545974731
74787773,chat-gpt-3.5,neutral,0.9996482133865356
74787773,original-answer,neutral,0.9978931546211243
74787773,llama,neutral,0.997963547706604
74910981,chat-gpt-3.5,neutral,0.9997506737709045
74910981,original-answer,neutral,0.9997773766517639
74910981,llama,neutral,0.9640530347824097
75953590,chat-gpt-3.5,neutral,0.999579131603241
75953590,original-answer,neutral,0.93471360206604
75953590,llama,neutral,0.9997145533561707
74955237,chat-gpt-3.5,neutral,0.9997126460075378
74955237,original-answer,neutral,0.9997134804725647
74955237,llama,neutral,0.9997312426567078
75309327,chat-gpt-3.5,neutral,0.9996380805969238
75309327,original-answer,neutral,0.9996490478515625
75309327,llama,neutral,0.9996445178985596
75274866,chat-gpt-3.5,neutral,0.9997119307518005
75274866,original-answer,neutral,0.9997885823249817
75274866,llama,neutral,0.9994718432426453
75124044,chat-gpt-3.5,neutral,0.9996100068092346
75124044,original-answer,negative,0.9840654730796814
75124044,llama,positive,0.9985905289649963
75754152,chat-gpt-3.5,neutral,0.9997205138206482
75754152,original-answer,neutral,0.9996556043624878
75754152,llama,positive,0.9939163327217102
75727923,chat-gpt-3.5,neutral,0.9997149109840393
75727923,original-answer,neutral,0.6736592650413513
75727923,llama,neutral,0.9996950626373291
75828054,chat-gpt-3.5,positive,0.9993771910667419
75828054,original-answer,neutral,0.9763565063476562
75828054,llama,neutral,0.9996243715286255
76040523,chat-gpt-3.5,neutral,0.9997544884681702
76040523,original-answer,neutral,0.9993914365768433
76040523,llama,neutral,0.9997654557228088
74639660,chat-gpt-3.5,neutral,0.9997624754905701
74639660,original-answer,negative,0.9499616622924805
74639660,llama,positive,0.9971134662628174
75361470,chat-gpt-3.5,neutral,0.9996622800827026
75361470,original-answer,neutral,0.9984863996505737
75361470,llama,neutral,0.999024510383606
75394657,chat-gpt-3.5,neutral,0.9996349811553955
75394657,original-answer,neutral,0.9996792078018188
75394657,llama,positive,0.9967120885848999
75678528,chat-gpt-3.5,neutral,0.999728262424469
75678528,original-answer,neutral,0.9988192915916443
75678528,llama,neutral,0.9996933937072754
74792246,chat-gpt-3.5,neutral,0.9996274709701538
74792246,original-answer,neutral,0.999695897102356
74792246,llama,positive,0.9953853487968445
75137675,chat-gpt-3.5,neutral,0.9995535016059875
75137675,original-answer,neutral,0.9997135996818542
75137675,llama,positive,0.9996283054351807
75676718,chat-gpt-3.5,neutral,0.9995567202568054
75676718,original-answer,neutral,0.9994567036628723
75676718,llama,neutral,0.9996386766433716
75345766,chat-gpt-3.5,neutral,0.9997147917747498
75345766,original-answer,neutral,0.9996212720870972
75345766,llama,neutral,0.999691367149353
75259576,chat-gpt-3.5,neutral,0.9997449517250061
75259576,original-answer,neutral,0.9994416832923889
75259576,llama,negative,0.847582995891571
75535945,chat-gpt-3.5,neutral,0.9997010827064514
75535945,original-answer,neutral,0.999570906162262
75535945,llama,neutral,0.9997391104698181
74886135,chat-gpt-3.5,neutral,0.9995423555374146
74886135,original-answer,neutral,0.9994223117828369
74886135,llama,neutral,0.9977273344993591
75412023,chat-gpt-3.5,neutral,0.9997583031654358
75412023,original-answer,neutral,0.9997522234916687
75412023,llama,positive,0.9988718628883362
76053426,chat-gpt-3.5,neutral,0.9996503591537476
76053426,original-answer,neutral,0.9996825456619263
76053426,llama,neutral,0.6695181727409363
75477705,chat-gpt-3.5,neutral,0.9996705055236816
75477705,original-answer,neutral,0.9997438788414001
75477705,llama,neutral,0.9997246861457825
75926446,chat-gpt-3.5,neutral,0.9996693134307861
75926446,original-answer,neutral,0.999672532081604
75926446,llama,neutral,0.9972966313362122
75141068,chat-gpt-3.5,neutral,0.999649167060852
75141068,original-answer,neutral,0.9995672106742859
75141068,llama,neutral,0.9996825456619263
75279839,chat-gpt-3.5,neutral,0.9997286200523376
75279839,original-answer,neutral,0.9976654052734375
75279839,llama,neutral,0.9997305274009705
74625933,chat-gpt-3.5,neutral,0.9997826218605042
74625933,original-answer,neutral,0.9996272325515747
74625933,llama,neutral,0.999762237071991
75888265,chat-gpt-3.5,neutral,0.9997449517250061
75888265,original-answer,neutral,0.9997456669807434
75888265,llama,positive,0.9997768998146057
75606592,chat-gpt-3.5,neutral,0.9997088313102722
75606592,original-answer,neutral,0.9996871948242188
75606592,llama,neutral,0.9996767044067383
75767654,chat-gpt-3.5,neutral,0.9996433258056641
75767654,original-answer,neutral,0.9983055591583252
75767654,llama,neutral,0.999582827091217
75792418,chat-gpt-3.5,neutral,0.9993268251419067
75792418,original-answer,neutral,0.9997219443321228
75792418,llama,neutral,0.999351441860199
75897290,chat-gpt-3.5,neutral,0.9959625601768494
75897290,original-answer,neutral,0.9996920824050903
75897290,llama,positive,0.9995248317718506
75300420,chat-gpt-3.5,neutral,0.9996944665908813
75300420,original-answer,neutral,0.9994076490402222
75300420,llama,positive,0.9932622313499451
74903024,chat-gpt-3.5,neutral,0.9997557997703552
74903024,original-answer,positive,0.9997671246528625
74903024,llama,positive,0.9994956254959106
74727222,chat-gpt-3.5,neutral,0.9996777772903442
74727222,original-answer,neutral,0.9995576739311218
74727222,llama,neutral,0.999698281288147
75594376,chat-gpt-3.5,neutral,0.9997596144676208
75594376,original-answer,neutral,0.9997503161430359
75594376,llama,neutral,0.9997299313545227
75779286,chat-gpt-3.5,neutral,0.9997301697731018
75779286,original-answer,neutral,0.9996243715286255
75779286,llama,neutral,0.9996589422225952
75701487,chat-gpt-3.5,neutral,0.9997463822364807
75701487,original-answer,neutral,0.9874706864356995
75701487,llama,neutral,0.9996851682662964
75581187,chat-gpt-3.5,neutral,0.9997367262840271
75581187,original-answer,neutral,0.9996417760848999
75581187,llama,positive,0.9983153343200684
75818472,chat-gpt-3.5,neutral,0.9997155070304871
75818472,original-answer,neutral,0.9997594952583313
75818472,llama,neutral,0.9994294047355652
75259335,chat-gpt-3.5,neutral,0.9996508359909058
75259335,original-answer,neutral,0.9997630715370178
75259335,llama,neutral,0.9995163679122925
74941125,chat-gpt-3.5,neutral,0.9996540546417236
74941125,original-answer,neutral,0.9995244741439819
74941125,llama,neutral,0.9995575547218323
74776494,chat-gpt-3.5,neutral,0.999679684638977
74776494,original-answer,neutral,0.9996403455734253
74776494,llama,neutral,0.9996974468231201
75621833,chat-gpt-3.5,neutral,0.9996658563613892
75621833,original-answer,neutral,0.9995985627174377
75621833,llama,neutral,0.9996618032455444
74873498,chat-gpt-3.5,neutral,0.9997444748878479
74873498,original-answer,neutral,0.9995915293693542
74873498,llama,neutral,0.9996374845504761
74829371,chat-gpt-3.5,neutral,0.9994845390319824
74829371,original-answer,neutral,0.999656081199646
74829371,llama,neutral,0.9994940757751465
74625152,chat-gpt-3.5,neutral,0.9995895028114319
74625152,original-answer,neutral,0.9985211491584778
74625152,llama,neutral,0.9996054768562317
74985752,chat-gpt-3.5,neutral,0.9994876384735107
74985752,original-answer,neutral,0.9996343851089478
74985752,llama,neutral,0.9996423721313477
75388014,chat-gpt-3.5,neutral,0.9996235370635986
75388014,original-answer,neutral,0.999725878238678
75388014,llama,neutral,0.9997518658638
75652520,chat-gpt-3.5,neutral,0.9996882677078247
75652520,original-answer,neutral,0.9997561573982239
75652520,llama,positive,0.9997478127479553
75610201,chat-gpt-3.5,neutral,0.9997562766075134
75610201,original-answer,neutral,0.9997405409812927
75610201,llama,neutral,0.9997063279151917
75004091,chat-gpt-3.5,neutral,0.9997041821479797
75004091,original-answer,neutral,0.9995953440666199
75004091,llama,neutral,0.9995410442352295
75686934,chat-gpt-3.5,neutral,0.9996793270111084
75686934,original-answer,neutral,0.9985666871070862
75686934,llama,neutral,0.9989560842514038
75133191,chat-gpt-3.5,neutral,0.9997138381004333
75133191,original-answer,neutral,0.9995123147964478
75133191,llama,neutral,0.9994662404060364
75536237,chat-gpt-3.5,neutral,0.9996428489685059
75536237,original-answer,neutral,0.9997512698173523
75536237,llama,neutral,0.9997171759605408
75681460,chat-gpt-3.5,neutral,0.9997745156288147
75681460,original-answer,neutral,0.999612033367157
75681460,llama,neutral,0.9997280240058899
75255746,chat-gpt-3.5,neutral,0.9997442364692688
75255746,original-answer,neutral,0.9448504447937012
75255746,llama,neutral,0.9997506737709045
74894428,chat-gpt-3.5,neutral,0.9997314810752869
74894428,original-answer,neutral,0.9996556043624878
74894428,llama,neutral,0.999632716178894
75701352,chat-gpt-3.5,neutral,0.9996613264083862
