Question ID,Model,Similarity
74891998,gpt-3.5-turbo,MEDIUM
74891998,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75766948,gpt-3.5-turbo,HIGH
75766948,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
74844325,gpt-3.5-turbo,MEDIUM
74844325,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75922360,gpt-3.5-turbo,VERY HIGH
75922360,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75894490,gpt-3.5-turbo,MEDIUM
75894490,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75128735,gpt-3.5-turbo,LOW
75128735,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75418451,gpt-3.5-turbo,VERY HIGH
75418451,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74787773,gpt-3.5-turbo,VERY HIGH
74787773,meta-llama/Llama-2-7b-chat-hf,VERY LOW
74910981,gpt-3.5-turbo,LOW
74910981,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75953590,gpt-3.5-turbo,HIGH
75953590,meta-llama/Llama-2-7b-chat-hf,VERY LOW
74955237,gpt-3.5-turbo,HIGH
74955237,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75309327,gpt-3.5-turbo,MEDIUM
75309327,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75274866,gpt-3.5-turbo,VERY HIGH
75274866,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75124044,gpt-3.5-turbo,LOW
75124044,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75754152,gpt-3.5-turbo,VERY HIGH
75754152,meta-llama/Llama-2-7b-chat-hf,HIGH
75727923,gpt-3.5-turbo,MEDIUM
75727923,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75828054,gpt-3.5-turbo,HIGH
75828054,meta-llama/Llama-2-7b-chat-hf,LOW
76040523,gpt-3.5-turbo,MEDIUM
76040523,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74639660,gpt-3.5-turbo,MEDIUM
74639660,meta-llama/Llama-2-7b-chat-hf,LOW
75361470,gpt-3.5-turbo,VERY HIGH
75361470,meta-llama/Llama-2-7b-chat-hf,LOW
75394657,gpt-3.5-turbo,MEDIUM
75394657,meta-llama/Llama-2-7b-chat-hf,LOW
75678528,gpt-3.5-turbo,VERY LOW
75678528,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74792246,gpt-3.5-turbo,HIGH
74792246,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75137675,gpt-3.5-turbo,MEDIUM
75137675,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75676718,gpt-3.5-turbo,MEDIUM
75676718,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75345766,gpt-3.5-turbo,MEDIUM
75345766,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75259576,gpt-3.5-turbo,MEDIUM
75259576,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75535945,gpt-3.5-turbo,HIGH
75535945,meta-llama/Llama-2-7b-chat-hf,HIGH
74886135,gpt-3.5-turbo,VERY HIGH
74886135,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75412023,gpt-3.5-turbo,MEDIUM
75412023,meta-llama/Llama-2-7b-chat-hf,MEDIUM
76053426,gpt-3.5-turbo,LOW
76053426,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75477705,gpt-3.5-turbo,VERY HIGH
75477705,meta-llama/Llama-2-7b-chat-hf,HIGH
75926446,gpt-3.5-turbo,LOW
75926446,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75141068,gpt-3.5-turbo,MEDIUM
75141068,meta-llama/Llama-2-7b-chat-hf,LOW
75279839,gpt-3.5-turbo,LOW
75279839,meta-llama/Llama-2-7b-chat-hf,LOW
74625933,gpt-3.5-turbo,MEDIUM
74625933,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75888265,gpt-3.5-turbo,HIGH
75888265,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75606592,gpt-3.5-turbo,LOW
75606592,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75767654,gpt-3.5-turbo,MEDIUM
75767654,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75792418,gpt-3.5-turbo,MEDIUM
75792418,meta-llama/Llama-2-7b-chat-hf,LOW
75897290,gpt-3.5-turbo,MEDIUM
75897290,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75300420,gpt-3.5-turbo,HIGH
75300420,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
74903024,gpt-3.5-turbo,MEDIUM
74903024,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74727222,gpt-3.5-turbo,VERY HIGH
74727222,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75594376,gpt-3.5-turbo,HIGH
75594376,meta-llama/Llama-2-7b-chat-hf,LOW
75779286,gpt-3.5-turbo,LOW
75779286,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75701487,gpt-3.5-turbo,MEDIUM
75701487,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75581187,gpt-3.5-turbo,MEDIUM
75581187,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75818472,gpt-3.5-turbo,MEDIUM
75818472,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75259335,gpt-3.5-turbo,HIGH
75259335,meta-llama/Llama-2-7b-chat-hf,LOW
74941125,gpt-3.5-turbo,HIGH
74941125,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
74776494,gpt-3.5-turbo,VERY HIGH
74776494,meta-llama/Llama-2-7b-chat-hf,HIGH
75621833,gpt-3.5-turbo,MEDIUM
75621833,meta-llama/Llama-2-7b-chat-hf,HIGH
74873498,gpt-3.5-turbo,LOW
74873498,meta-llama/Llama-2-7b-chat-hf,HIGH
74829371,gpt-3.5-turbo,VERY HIGH
74829371,meta-llama/Llama-2-7b-chat-hf,HIGH
74625152,gpt-3.5-turbo,MEDIUM
74625152,meta-llama/Llama-2-7b-chat-hf,LOW
74985752,gpt-3.5-turbo,HIGH
74985752,meta-llama/Llama-2-7b-chat-hf,LOW
75388014,gpt-3.5-turbo,MEDIUM
75388014,meta-llama/Llama-2-7b-chat-hf,HIGH
75652520,gpt-3.5-turbo,VERY HIGH
75652520,meta-llama/Llama-2-7b-chat-hf,LOW
75610201,gpt-3.5-turbo,MEDIUM
75610201,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75004091,gpt-3.5-turbo,VERY LOW
75004091,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75686934,gpt-3.5-turbo,VERY HIGH
75686934,meta-llama/Llama-2-7b-chat-hf,HIGH
75133191,gpt-3.5-turbo,MEDIUM
75133191,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75536237,gpt-3.5-turbo,HIGH
75536237,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75681460,gpt-3.5-turbo,VERY HIGH
75681460,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75255746,gpt-3.5-turbo,HIGH
75255746,meta-llama/Llama-2-7b-chat-hf,VERY LOW
74894428,gpt-3.5-turbo,MEDIUM
74894428,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75701352,gpt-3.5-turbo,HIGH
75701352,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75355962,gpt-3.5-turbo,HIGH
75355962,meta-llama/Llama-2-7b-chat-hf,LOW
76046277,gpt-3.5-turbo,VERY HIGH
76046277,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
74958798,gpt-3.5-turbo,VERY HIGH
74958798,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75940783,gpt-3.5-turbo,MEDIUM
75940783,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75449324,gpt-3.5-turbo,VERY HIGH
75449324,meta-llama/Llama-2-7b-chat-hf,VERY LOW
74645329,gpt-3.5-turbo,HIGH
74645329,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75973321,gpt-3.5-turbo,LOW
75973321,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74952536,gpt-3.5-turbo,HIGH
74952536,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75491505,gpt-3.5-turbo,HIGH
75491505,meta-llama/Llama-2-7b-chat-hf,LOW
75705927,gpt-3.5-turbo,LOW
75705927,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
74678625,gpt-3.5-turbo,MEDIUM
74678625,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75442293,gpt-3.5-turbo,HIGH
75442293,meta-llama/Llama-2-7b-chat-hf,HIGH
74673173,gpt-3.5-turbo,VERY HIGH
74673173,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75203685,gpt-3.5-turbo,VERY HIGH
75203685,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74836161,gpt-3.5-turbo,MEDIUM
74836161,meta-llama/Llama-2-7b-chat-hf,LOW
75499333,gpt-3.5-turbo,MEDIUM
75499333,meta-llama/Llama-2-7b-chat-hf,LOW
75791645,gpt-3.5-turbo,HIGH
75791645,meta-llama/Llama-2-7b-chat-hf,HIGH
75005196,gpt-3.5-turbo,MEDIUM
75005196,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75010505,gpt-3.5-turbo,VERY HIGH
75010505,meta-llama/Llama-2-7b-chat-hf,HIGH
75723026,gpt-3.5-turbo,HIGH
75723026,meta-llama/Llama-2-7b-chat-hf,LOW
75900187,gpt-3.5-turbo,HIGH
75900187,meta-llama/Llama-2-7b-chat-hf,HIGH
75717363,gpt-3.5-turbo,MEDIUM
75717363,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75579311,gpt-3.5-turbo,VERY HIGH
75579311,meta-llama/Llama-2-7b-chat-hf,LOW
75517315,gpt-3.5-turbo,VERY HIGH
75517315,meta-llama/Llama-2-7b-chat-hf,HIGH
75717664,gpt-3.5-turbo,MEDIUM
75717664,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74971911,gpt-3.5-turbo,VERY HIGH
74971911,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75441608,gpt-3.5-turbo,HIGH
75441608,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74758047,gpt-3.5-turbo,VERY HIGH
74758047,meta-llama/Llama-2-7b-chat-hf,LOW
75233987,gpt-3.5-turbo,LOW
75233987,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
76037084,gpt-3.5-turbo,MEDIUM
76037084,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74691834,gpt-3.5-turbo,HIGH
74691834,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75920221,gpt-3.5-turbo,VERY HIGH
75920221,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75056900,gpt-3.5-turbo,VERY HIGH
75056900,meta-llama/Llama-2-7b-chat-hf,LOW
75689998,gpt-3.5-turbo,VERY HIGH
75689998,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75221294,gpt-3.5-turbo,LOW
75221294,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74729692,gpt-3.5-turbo,MEDIUM
74729692,meta-llama/Llama-2-7b-chat-hf,LOW
76034504,gpt-3.5-turbo,HIGH
76034504,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75211654,gpt-3.5-turbo,MEDIUM
75211654,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74962116,gpt-3.5-turbo,HIGH
74962116,meta-llama/Llama-2-7b-chat-hf,HIGH
74717107,gpt-3.5-turbo,MEDIUM
74717107,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75974000,gpt-3.5-turbo,VERY HIGH
75974000,meta-llama/Llama-2-7b-chat-hf,LOW
75298311,gpt-3.5-turbo,HIGH
75298311,meta-llama/Llama-2-7b-chat-hf,HIGH
75037519,gpt-3.5-turbo,VERY HIGH
75037519,meta-llama/Llama-2-7b-chat-hf,LOW
74929519,gpt-3.5-turbo,HIGH
74929519,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
74622976,gpt-3.5-turbo,VERY HIGH
74622976,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75114654,gpt-3.5-turbo,LOW
75114654,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75854182,gpt-3.5-turbo,HIGH
75854182,meta-llama/Llama-2-7b-chat-hf,LOW
75093391,gpt-3.5-turbo,MEDIUM
75093391,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75193954,gpt-3.5-turbo,VERY HIGH
75193954,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75389612,gpt-3.5-turbo,VERY HIGH
75389612,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75802587,gpt-3.5-turbo,LOW
75802587,meta-llama/Llama-2-7b-chat-hf,LOW
75258460,gpt-3.5-turbo,LOW
75258460,meta-llama/Llama-2-7b-chat-hf,LOW
