ID,,Context Adequacy,External Reference,No Textual Content,Illustrative Context,Question Goal,Domain,Tag Concordance,No Textual Content,External Reference,Illustrative Context
74960462,After,Medium,Documentation,,Code,Question,Database/SQL,Strong,,Documentation,
73657033,Before,Medium,,,Output,Question,Tools/IDEs/Environment,Strong,,Documentation,
72856097,Before,Medium,,Image,Code,Open,Framework/Library,Strong,,,Code
73687017,Before,Medium,Another SO question,,Code,Question,Programming Languages,Medium,,,
75137675,After,Shalow,,,Code,Open,Tools/IDEs/Environment,Medium,Image,,Code
75676718,After,Strong,External Link,,Code,Question,Programming Languages,Strong,Image,,
76012769,,,,,,,,,,,
75036609,After,Shalow,,,Code,Open,Web development,Weak,,,
73113554,Before,Shalow,,,Code,Question,Programming Languages,Medium,,,
73032148,Before,Shalow,,,Error message,Question,DevOps,Strong,,,
75802832,After,Medium,,,Code,Open,Framework/Library,Medium,,Documentation,
73319080,Before,Strong,,,Code/Error Message,Open,Web development,Medium,,Documentation,
73332258,Before,Medium,,,Code,Question,General Programming Concepts,Medium,,,
74400294,Before,Shalow,,,Code/Output,Question,Framework/Library,Medium,,,
74590672,Before,Medium,,,Code/Error Message,Question,Programming Languages,Strong,,,
73316485,Before,Shalow,,,Code,Question,Programming Languages,Strong,,,
75291308,After,Medium,,,Code/Error Message,Open,Framework/Library,Strong,,,
73354989,Before,Medium,,,Code,Question,Programming Languages,Weak,,External Link,
74350679,Before,Medium,,,Code,Question,Programming Languages,Strong,,,
75150846,After,Medium,,,Code,Question,Framework/Library,Strong,,,
73709225,Before,Strong,,,Code/ Expected Output,Open,Programming Languages,Medium,,Documentation,
73707930,Before,Medium,,,Error message,Question,Tools/IDEs/Environment,Weak,Image,,
73393051,Before,Strong,,,Code/ Expected Output,Open,Framework/Library,Medium,,,
75044024,After,Medium,,,Code,Question,Tools/IDEs/Environment,Strong,,,Code
75754152,After,Medium,Another SO question,,Code,Question,Framework/Library,Medium,,,
73093527,Before,Medium,,,Code,Open,Programming Languages,Medium,,,
73676462,Before,Medium,,,Code/ Error Message,Open,Framework/Library,,,Documentation,
75779286,After,Medium,,Image,Code,Open,Framework/Library,Strong,,Documentation,
74223372,Before,Medium,,,Code,Open,Programming Languages,Medium,,,
74891998,After,Medium,Documentation,Image,,Question,Database/SQL,,,,
74941125,After,Medium,,,Code/Error Message,Question,Framework/Library,Medium,,Documentation,
75176482,After,Shalow,,,Code,Question,Programming Languages,Weak,,Another SO question,
72940123,Before,Medium,,,,Question,Tools/IDEs/Environment,Medium,,Documentation,
73290373,Before,Medium,,,Code,Open,Programming Languages,Medium,,,
75298311,After,Medium,,,Code,Open,Programming Languages,Medium,,,
