ID,Context Adequacy,External Reference,No Textual Content,Illustrative Context,Question Goal,",",Tag Concordance,No Textual Content,External Reference,Illustrative Context,
74227793,Medium,Documentation,,Code,Question,Framework/Dependency,Strong,,,,
74591448,Strong,,,Code,Question,Programming Languages,Medium,,,Code,
73556146,Strong,,,Code,Question,Framework/Dependency,Medium,,Documentation,Code,
75727923,Strong,,,Code,Open,Framework/Dependency,Strong,,,Code,
75726570,Strong,,,Code/Error Message,Question,DevOps,Strong,,,,
73760219,Medium,,Image,Code,Question,Tools/IDEs,Weak,,,,
74405746,Strong,,,Code,Question,Mobile,Medium,,Documentation,Code,
75449324,Shalow,,,,Open,Framework/Dependency,Medium,,Another SO question,Code,
74606136,Medium,,Image,Code,Question,Database/SQL,Strong,,,Code,
74543810,Strong,,,Code,Open,Tools/IDEs,Weak,,,,
75258460,Medium,Documentation,,Code,Open,Framework/Dependency,Strong,,Documentation,Code,
74746284,Strong,,Image,Code,Question,Framework/Dependency,Strong,,,,
74652347,Medium,,Image,Code/Error Message,Question,Tools/IDEs,Strong,,Documentation,,
74437558,Medium,,,Code,Question,Framework/Dependency,Medium,,,,
75035488,Shalow,,,Code/Error Message,Question,Framework/Dependency,Strong,,,,
74639660,Medium,,,,Question,Framework/Dependency,Strong,,,,
73299474,Medium,,,Code,Open,Programming Languages,Strong,,,Code,Before
74910981,Medium,,Image,Error message,Question,Tools/IDEs,Strong,,,,
75621833,Strong,,,Code/Error Message,Open,Framework/Dependency,Strong,,,Code,
75897290,Medium,,,Code/Error Message,Open,Framework/Dependency,Medium,,Documentation,,
73354302,Strong,External Link,,Code,Open,Framework/Dependency,Strong,,,,
74086321,Strong,,Image,Code,Question,Web development,Strong,,,,
74811238,Medium,Documentation,,Code,Question,Framework/Dependency,Medium,,Documentation,,
75950803,Medium,,,Code/Error Message,Question,Programming Languages,Medium,,,,
73526145,Shalow,Documentation,,,Question,Framework/Dependency,Medium,,,Code,
72978467,Shalow,,,,Question,Tools/IDEs,Medium,,,,
75818472,Shalow,,Image,,Question,Framework/Dependency,Medium,,Documentation,Code,
75698936,Strong,Documentation,,Code/Error Message,Question,Framework/Dependency,Medium,,Documentation,,
74635523,Medium,,Image,Code,Open,Framework/Dependency,Strong,,,Code,
73535528,Medium,,,Code/Error Message,Question,Programming Languages,Weak,,External Link,,
72826154,Medium,,,,Open,Tools/IDEs,Medium,,,,
73211933,Medium,,,,Question,Networking,Strong,,External Link,,
75768912,Medium,,,Code,Question,Framework/Dependency,Strong,,,,
74976717,Strong,,,Code,Question,Framework/Dependency,Strong,,Documentation,Code,After
74053380,Shalow,,,,Question,Framework/Dependency,Weak,,,Code,
73690166,Medium,,,,Question,Tools/IDEs,Weak,,Documentation,,
72907961,Shalow,,Image,Code,Open,Web development,Weak,,Another SO question,Code,
76030821,Shalow,,,,Question,Tools/IDEs,Weak,,Documentation,Code,
75610201,Shalow,,,,Question,Operating Systems,Weak,,External Link,,
74016253,Medium,,,Code,Question,Database/SQL,Medium,,Documentation,Code,
74173571,Medium,,,Code/Error Message,Open,Tools/IDEs,Strong,,,,Before
75392538,Medium,,,Code,Question,Framework/Dependency,Strong,,,Code,
74753176,Medium,,,Code,Open,Framework/Dependency,,,,Code,After
73972027,Medium,,,Code,Question,Programming Languages,Strong,,,Code,
74387517,Shalow,,Image,,Open,Framework/Dependency,Weak,,,,
73452611,Medium,,Image,Code,Open,Web development,Strong,,,,
74402927,Medium,,Image,,Question,Tools/IDEs,Medium,Image,,Code,
74512385,Shalow,,,Code,Question,Framework/Dependency,Weak,,,Code,
74587419,Medium,,Image,,Open,Tools/IDEs,Strong,,,,
76004983,Medium,,,Code,Question,Programming Languages,Medium,,,,
75255746,Shalow,,,Code,Question,Programming Languages,Medium,,Documentation,,
75221294,Shalow,,Image,,Open,Tools/IDEs,Medium,,External Link,,
73682305,Strong,External Link,,Code,Question,Programming Languages,Strong,,,Code,
75299402,Medium,,,Code,Question,Database/SQL,Weak,,,Code,
73805636,Medium,External Link,Image,,Question,Tools/IDEs,Weak,Image,,Code,
74857640,Medium,,,,Question,DevOps,Medium,,Another SO question,,
73143311,Shalow,,,Code,Question,Framework/Dependency,Weak,,Documentation,Code,
73253228,Medium,,,Code,Open,Framework/Dependency,Weak,,,,
75377287,Shalow,,Image,,Question,Tools/IDEs,Weak,,Documentation,,
75089553,Strong,External Link,,Code,Open,Web development,Medium,,,Code,
75385779,Shalow,,,Code,Question,Database/SQL,Medium,,Documentation,Code,
75948146,Medium,,Image,Code,Question,Framework/Dependency,Medium,,Documentation,,
74996056,Shalow,,Image,Error message,Open,Tools/IDEs,Strong,,,,
75463207,Medium,Another SO question,,Code,Question,Programming Languages,Weak,,,Code,
75388014,Shalow,,,Code,Open,Programming Languages,Medium,,Documentation,Code,
74622976,Shalow,,,Code,Question,Framework/Dependency,Medium,,,Code,
74506570,Shalow,External Link,Image,,Question,Framework/Dependency,Strong,Image,Documentation,,
74382338,Medium,,,Code,Question,Programming Languages,Medium,,,Code,Before
