user_id,reputation,creation_date,profile_before_chatgpt,last_access,bronze_badge,silver_badge,gold_badge
1385039,28359,2009-06-30 09:02:13,True,2023-08-12 20:22:12,93,61,9
83491,12420,2009-03-27 02:16:45,True,2023-07-31 15:36:59,65,49,5
1953175,7276,2013-01-06 12:16:23,True,2023-07-07 11:34:26,53,34,5
3739498,6297,2014-06-13 21:28:14,True,2023-08-12 19:25:41,38,22,1
2275815,3421,2013-04-12 15:40:30,True,2023-08-13 05:36:11,29,17,1
1333724,3402,2012-04-14 16:25:17,True,2023-08-11 18:31:06,27,19,1
4680236,2762,2015-03-17 06:31:16,True,2023-07-22 03:59:57,24,20,4
12001122,2492,2019-08-30 16:13:59,True,2023-08-11 13:24:03,48,16,1
1181846,2123,2012-01-31 22:46:37,True,2023-08-10 13:51:59,18,18,1
7631479,1288,2017-02-27 13:22:38,True,2023-08-11 12:08:09,13,11,0
10377603,1049,2018-09-17 20:00:02,True,2023-08-12 21:17:51,13,7,1
532962,971,2010-12-06 17:41:22,True,2022-12-20 16:12:29,21,12,4
3914260,923,2014-08-06 08:11:15,True,2023-08-11 04:56:35,12,7,1
1898713,893,2012-12-12 12:58:25,True,2023-08-11 06:03:40,18,6,1
11206308,780,2019-03-14 22:16:14,True,2023-08-07 22:45:25,16,8,1
14059730,749,2020-08-06 07:14:27,True,2023-08-09 07:30:51,16,4,0
1539659,667,2012-07-19 23:54:43,True,2023-03-20 02:49:56,10,7,1
6229036,591,2016-04-20 04:25:35,True,2023-08-01 06:15:23,19,5,0
7835100,572,2017-04-07 18:27:11,True,2023-08-08 11:01:10,24,7,1
9337194,530,2018-02-09 02:42:34,True,2023-05-19 09:55:13,22,7,1
4944020,499,2015-05-27 05:31:32,True,2023-08-11 05:47:17,7,4,0
10508808,405,2018-10-15 13:21:40,True,2023-04-30 16:34:25,6,5,0
16334830,402,2021-06-28 09:58:47,True,2023-08-10 03:09:50,15,2,0
5353650,400,2015-09-19 09:04:48,True,2023-04-25 02:26:10,11,1,0
2765289,326,2013-09-10 09:59:46,True,2023-01-27 10:39:22,19,4,1
11858790,305,2019-07-30 12:02:37,True,2023-08-13 08:54:02,9,2,0
6667813,195,2016-08-02 09:06:09,True,2023-06-11 01:51:41,7,0,0
10151826,187,2018-07-29 11:29:40,True,2023-08-12 21:06:32,11,5,1
10591641,171,2018-11-01 10:36:22,True,2023-08-10 02:27:46,4,0,0
12765299,160,2020-01-22 19:27:03,True,2023-06-21 10:44:10,9,0,0
9045679,156,2017-12-03 02:17:28,True,2023-08-13 08:08:42,2,0,0
10685015,156,2018-11-21 04:52:11,True,2023-08-08 10:48:47,4,0,0
15776226,154,2021-04-27 08:21:21,True,2023-05-12 02:51:20,9,2,0
16540015,141,2021-07-27 14:47:37,True,2023-08-09 15:20:54,4,0,0
8912978,126,2017-11-09 05:26:36,True,2023-08-11 12:02:22,6,1,0
11975731,123,2019-08-25 16:48:10,True,2023-08-04 03:44:31,9,1,0
16151903,119,2021-06-07 04:34:57,True,2023-06-14 08:52:04,6,0,0
20886720,119,2022-12-29 06:40:19,False,2023-08-12 12:18:31,7,0,0
13139888,116,2020-03-28 05:31:13,True,2023-08-07 01:29:51,4,1,0
1638618,114,2012-08-31 08:13:28,True,2023-08-11 07:16:34,4,0,0
14596032,106,2020-11-07 08:54:44,True,2023-08-11 12:17:01,4,0,0
385749,101,2010-07-07 12:22:31,True,2023-08-07 11:53:19,2,0,0
11215933,96,2019-03-17 06:54:05,True,2023-06-09 01:27:05,7,1,0
8106804,86,2017-06-03 06:13:32,True,2023-02-15 22:30:26,2,0,0
6739976,81,2016-08-21 04:42:52,True,2023-08-05 08:11:33,10,0,0
15453529,81,2021-03-22 11:35:34,True,2023-07-31 18:36:47,1,0,0
20707628,76,2022-12-06 18:02:41,False,2023-02-18 08:17:19,5,0,0
3335664,66,2014-02-20 23:28:42,True,2023-04-15 23:30:27,5,0,0
2268063,56,2013-04-10 17:42:10,True,2023-04-03 05:06:25,7,1,0
6232994,51,2016-04-20 20:52:45,True,2023-05-04 03:11:36,3,1,0
17341124,41,2021-11-06 01:06:38,True,2023-08-04 23:27:42,6,2,0
18225480,41,2022-02-16 11:16:26,True,2023-04-29 03:40:42,7,0,0
21744718,41,2023-04-26 08:22:44,False,2023-07-13 14:21:39,5,0,0
20982349,34,2023-01-11 06:18:57,False,2023-02-13 13:00:57,3,0,0
14870346,26,2020-12-22 03:10:50,True,2023-06-26 11:54:55,2,0,0
20333581,26,2022-10-25 15:25:27,True,2023-06-25 11:37:27,4,0,0
3406639,21,2014-03-11 10:31:24,True,2023-03-14 11:25:59,3,0,0
4923128,21,2015-05-21 01:03:52,True,2023-08-10 06:59:23,2,0,0
6673257,21,2016-08-03 11:54:17,True,2023-08-11 10:42:02,2,1,0
9524274,21,2018-03-20 13:12:28,True,2023-08-11 21:13:41,4,1,0
17921879,21,2022-01-13 02:20:26,True,2023-08-11 02:42:28,5,1,0
21451509,21,2023-03-21 17:45:16,False,2023-05-26 13:26:12,2,0,0
21366016,19,2023-03-09 14:17:21,False,2023-03-21 19:39:36,2,0,0
2495655,11,2013-06-17 23:56:56,True,2023-08-10 10:19:22,2,0,0
13301227,11,2020-04-13 07:45:54,True,2023-06-04 05:56:56,2,0,0
15147961,11,2021-02-04 15:49:08,True,2023-03-05 19:09:11,2,0,0
15475884,11,2021-03-25 03:03:15,True,2023-05-13 16:43:06,3,0,0
20565802,11,2022-11-21 13:37:04,True,2022-12-08 13:51:56,2,0,0
21094417,11,2023-01-27 10:29:43,False,2023-05-12 17:13:38,1,0,0
21710208,11,2023-04-22 18:49:56,False,2023-07-28 19:47:00,1,0,0
21209654,9,2023-02-14 03:24:42,False,2023-04-25 11:55:04,2,0,0
18337518,7,2022-02-28 15:44:26,True,2023-03-25 11:22:30,3,0,0
6546651,1,2016-07-04 05:12:39,True,2023-02-07 03:32:55,2,0,0
6553871,1,2016-07-05 19:33:38,True,2023-03-14 00:31:31,0,0,0
6635785,1,2016-07-25 11:14:48,True,2023-03-21 20:32:39,2,0,0
7157239,1,2016-11-14 09:08:36,True,2023-08-13 08:28:09,2,0,0
